mill_id,mill_lat,mill_lon,mill_x,mill_y
KELAYANG,-0.4934,102.062467,840926.7941268226,-54614.05576528289
NHR,-0.733834,102.524376,892391.9751260569,-81265.46476270838
PN,-0.374579,102.384353,876806.3997994631,-41475.058960710616
SAWIT JAYA MANDIRI LESTARI,-0.442814,102.256371,862538.334716815,-49023.94836460283
SKIP,-0.682643,102.501522,889848.5741009808,-75594.65854724044
SRJ,-0.793145,102.596242,900398.2715641526,-87840.52593184053
BUMI PALMA,-0.598056,102.983333,943581.0558863264,-66264.32453586685
Inecda,-0.49291,102.367313,874901.1608212522,-54576.235330223324
AGRO SARIMAS INDONESIA,-0.5163,102.921496,936690.0455051198,-57201.501076014334
BSS,-0.707525,102.659475,907456.0117855903,-78363.65494149884
GANDAERAH HENDANA,-0.156038,102.20624,856960.5272895386,-17274.109535980777
PERSADA AGRO SAWITA,-0.41125,102.3595,874034.4793673905,-45534.265070952904
SSR,-0.487269,102.480859,887558.5948732763,-53958.09001584565
AGRO SEJAHTERA,-0.51619,102.01667,835822.5243691723,-57134.22250915161
SAWIT INTI RAYA,-0.45576,102.16895,852794.8182850226,-50452.850592693656
MUSTIKA AGUNG SAWIT GEMILANG,-0.525278,101.993389,833227.9678175361,-58138.87501892944
SANLING SAWIT SEJATERA,-0.37911,102.16367,852209.8176992505,-41967.441549907606
